customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
29,2,ANGELA,HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,33,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
40,2,AMANDA,CARTER,AMANDA.CARTER@sakilacustomer.org,44,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
51,1,ALICE,STEWART,ALICE.STEWART@sakilacustomer.org,55,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
63,1,ASHLEY,RICHARDSON,ASHLEY.RICHARDSON@sakilacustomer.org,67,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
81,1,ANDREA,HENDERSON,ANDREA.HENDERSON@sakilacustomer.org,85,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
97,2,ANNIE,RUSSELL,ANNIE.RUSSELL@sakilacustomer.org,101,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
136,2,ANITA,MORALES,ANITA.MORALES@sakilacustomer.org,140,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
139,1,AMBER,DIXON,AMBER.DIXON@sakilacustomer.org,143,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
142,1,APRIL,BURNS,APRIL.BURNS@sakilacustomer.org,146,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
152,1,ALICIA,MILLS,ALICIA.MILLS@sakilacustomer.org,156,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
173,1,AUDREY,RAY,AUDREY.RAY@sakilacustomer.org,177,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
175,1,ANNETTE,OLSON,ANNETTE.OLSON@sakilacustomer.org,179,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
217,2,AGNES,BISHOP,AGNES.BISHOP@sakilacustomer.org,221,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
225,1,ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,229,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
228,2,ALLISON,STANLEY,ALLISON.STANLEY@sakilacustomer.org,232,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
320,2,ANTHONY,SCHWAB,ANTHONY.SCHWAB@sakilacustomer.org,325,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
333,2,ANDREW,PURDY,ANDREW.PURDY@sakilacustomer.org,338,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
346,1,ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,351,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
352,1,ALBERT,CROUSE,ALBERT.CROUSE@sakilacustomer.org,357,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
375,2,AARON,SELBY,AARON.SELBY@sakilacustomer.org,380,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
398,1,ANTONIO,MEEK,ANTONIO.MEEK@sakilacustomer.org,403,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
412,2,ALLEN,BUTTERFIELD,ALLEN.BUTTERFIELD@sakilacustomer.org,417,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
423,2,ALFRED,CASILLAS,ALFRED.CASILLAS@sakilacustomer.org,428,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
439,2,ALEXANDER,FENNELL,ALEXANDER.FENNELL@sakilacustomer.org,444,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
467,2,ALVIN,DELOACH,ALVIN.DELOACH@sakilacustomer.org,472,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
503,1,ANGEL,BARCLAY,ANGEL.BARCLAY@sakilacustomer.org,508,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
515,1,ANDRE,RAPP,ANDRE.RAPP@sakilacustomer.org,521,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
522,2,ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,528,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
525,2,ADRIAN,CLARY,ADRIAN.CLARY@sakilacustomer.org,531,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
548,1,ALLAN,CORNISH,ALLAN.CORNISH@sakilacustomer.org,554,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
556,2,ARMANDO,GRUBER,ARMANDO.GRUBER@sakilacustomer.org,562,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
567,2,ALFREDO,MCADAMS,ALFREDO.MCADAMS@sakilacustomer.org,573,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
568,2,ALBERTO,HENNING,ALBERTO.HENNING@sakilacustomer.org,574,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
599,2,AUSTIN,CINTRON,AUSTIN.CINTRON@sakilacustomer.org,605,1,"2006-02-14 22:04:37","2006-02-15 04:57:20"
