customer_id,store_id,first_name,last_name,email,address_id,active,create_date,last_update
1,1,MARY,SMITH,MARY.SMITH@sakilacustomer.org,5,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
2,1,PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,6,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
3,1,LINDA,WILLIAMS,LINDA.WILLIAMS@sakilacustomer.org,7,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
4,2,BARBARA,JONES,BARBARA.JONES@sakilacustomer.org,8,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
5,1,ELIZABETH,BROWN,ELIZABETH.BROWN@sakilacustomer.org,9,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
6,2,JENNIFER,DAVIS,JENNIFER.DAVIS@sakilacustomer.org,10,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
7,1,MARIA,MILLER,MARIA.MILLER@sakilacustomer.org,11,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
8,2,SUSAN,WILSON,SUSAN.WILSON@sakilacustomer.org,12,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
9,2,MARGARET,MOORE,MARGARET.MOORE@sakilacustomer.org,13,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
10,1,DOROTHY,TAYLOR,DOROTHY.TAYLOR@sakilacustomer.org,14,1,"2006-02-14 22:04:36","2006-02-15 04:57:20"
